id,title,topicUrl,postDate,lastCommentPostDate,commentCount,votes,author,authorType
689054,Upgraded Accelerators,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/689054,2026-04-07T16:31:11.629102900Z,2026-04-29T14:57:28.746666700Z,4,18,María Cruz,ADMIN
684441,How to get started + Competition's Official Discord,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/684441,2026-03-24T21:16:14.165369600Z,2026-04-26T12:59:26.880Z,1,2,María Cruz,ADMIN
689254,ARC Prize 2026 - ARC-AGI-2 - Let's go!,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/689254,2026-04-08T02:26:47.245579800Z,2026-04-08T18:26:38.326666700Z,3,7,Greg Kamradt,HOST
697859,Bitterbot's TOPAS Architecture Submission: 11.67% LB vs ~36% Local (Managing TTT Timeouts),https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/697859,2026-05-07T16:48:56.703418500Z,2026-05-11T16:21:37.410Z,17,10,Victor M. Gil,TOPIC
698462,task  17829a00,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/698462,2026-05-10T03:01:37.995167100Z,2026-05-10T04:28:34.696666700Z,1,3,Mohamed Hashem (GoxD),TOPIC
694825,How many general classes does this competition exist?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694825,2026-04-27T10:55:31.304628900Z,2026-05-09T18:52:04.936666700Z,2,3,yoyobar,TOPIC
695556,Beyond the NVARC Rehash: A Different Approach with TOPAS (Submitting Soon),https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/695556,2026-04-29T19:32:10.645312600Z,2026-05-07T16:57:08.336666700Z,4,,Victor M. Gil,TOPIC
697831,Can't submit notebook through kaggle CLI API,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/697831,2026-05-07T15:25:30.489266100Z,2026-05-07T15:25:30.490Z,,,JawaZero,TOPIC
697058,Funny observation,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/697058,2026-05-05T05:24:59.299603100Z,2026-05-06T18:12:50.656666700Z,6,4,Yelaman,TOPIC
696718,Running ARC-AGI-2 on an Intel Arc A770 — setup + what works (no CUDA path),https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/696718,2026-05-03T17:46:09.910885400Z,2026-05-04T19:56:08.160Z,2,1,Boladi,TOPIC
696364,Double GPU Quota consomption,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/696364,2026-05-02T00:35:55.589067100Z,2026-05-02T17:32:16.630Z,2,,HARRABI Raouf,TOPIC
694676,To group nvbanana,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694676,2026-04-26T10:33:51.411892800Z,2026-04-29T13:11:15.630Z,6,-2,hwe owe,TOPIC
694745,Request to increase daily submissions,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694745,2026-04-26T19:11:07.251363100Z,2026-04-27T18:54:03.723333300Z,7,3,Jack Cole,TOPIC
