sortBy,ref,title,author,lastRunTime,totalVotes,url
dateRun,noob786/text-to-flower-attngan,Text-to-flower-AttnGAN,Noob786,2026-05-12T07:01:50.187Z,2,https://www.kaggle.com/code/noob786/text-to-flower-attngan
dateRun,christianrubin/aletheia-1,"""Aletheia-1""",Christian Rubin,2026-05-12T04:59:08.020Z,,https://www.kaggle.com/code/christianrubin/aletheia-1
dateRun,joel6999/arc26-2025-winning-solution-v1,[ARC26] 2025 Winning Solution v1,Joel,2026-05-11T20:37:00.160Z,,https://www.kaggle.com/code/joel6999/arc26-2025-winning-solution-v1
dateRun,rauffauzanrambe/arc-agi-neuron-adaptive-cot,ARC AGI Neuron Adaptive CoT,Ra'uf Fauzan Rambe,2026-05-10T23:59:29.933Z,1,https://www.kaggle.com/code/rauffauzanrambe/arc-agi-neuron-adaptive-cot
dateRun,afp2025/helixarc-arc2-submission,helixarc-arc2-submission,Brian Alvarez,2026-05-10T19:47:33.923Z,,https://www.kaggle.com/code/afp2025/helixarc-arc2-submission
dateRun,thalishumbertdroz/newbie,Newbie,Thalis Humbert-Droz,2026-05-10T18:31:55.827Z,,https://www.kaggle.com/code/thalishumbertdroz/newbie
dateRun,kaziaishikuzzaman/conditional-program-synthesis-arc-2026,Conditional Program Synthesis ARC 2026,Kazi Aishikuzzaman,2026-05-09T19:34:53.920Z,2,https://www.kaggle.com/code/kaziaishikuzzaman/conditional-program-synthesis-arc-2026
dateRun,mirzayasirabdullah07/arc-prize-2026-best-notebook,ARC Prize 2026 - Best NoteBook,Mirza Yasir Abdullah Baig,2026-05-09T11:31:17.247Z,21,https://www.kaggle.com/code/mirzayasirabdullah07/arc-prize-2026-best-notebook
dateRun,hammadfarooq470/geometric-logic-baseline,Geometric-Logic-Baseline,Hammad Farooq,2026-05-09T05:14:24.223Z,12,https://www.kaggle.com/code/hammadfarooq470/geometric-logic-baseline
dateRun,arshikhan810/solution-v1,solution v1,Arshi Khan,2026-05-08T14:39:15.833Z,,https://www.kaggle.com/code/arshikhan810/solution-v1
dateRun,pascalledesma/arc2fastfix,arc2fastfix,Pascal,2026-05-08T06:48:20.063Z,1,https://www.kaggle.com/code/pascalledesma/arc2fastfix
dateRun,ravikumar1234/arc-agi-2-logic-profiler,ARC-AGI-2 Logic Profiler,LACK.AI,2026-05-08T02:32:47.473Z,,https://www.kaggle.com/code/ravikumar1234/arc-agi-2-logic-profiler
dateRun,nabidnur/notebook-work2,notebook-work2,Nabid Nur,2026-05-07T13:33:53.667Z,,https://www.kaggle.com/code/nabidnur/notebook-work2
dateRun,pascalledesma/arc2holefix,arc2holefix,Pascal,2026-05-07T01:08:13.730Z,1,https://www.kaggle.com/code/pascalledesma/arc2holefix
